VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x 0  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  00000000
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00001 | 00400004 | 3c101001 0 0  0  0 16 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 20110005 0 0  0  0 17 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 20120003 0 0  0  0 18 | 00000000 00000005 | 10010000 00000000 |  0  00000000
  00004 | 00400010 | 02324020 1 0 17 18  8 | 00000000 00000003 | 00000005 00000000 | 16  10010000
  00005 | 00400010 | 02324020 1 0 17 18  8 | 00000000 00000000 | 00000003 00000000 | 17  00000005
  00006 | 00400010 | 02324020 0 0 17 18  8 | 00000000 00000000 | 00000000 00000000 | 18  00000003
  00007 | 00400014 | 02324820 0 0 17 18  9 | 00000005 00000003 | 00000000 00000000 |  0  00000000
  00008 | 00400018 | 02325020 0 0 17 18 10 | 00000005 00000003 | 00000008 00000003 |  0  00000000
  00009 | 0040001c | ae120000 0 0 16 18  0 | 00000005 00000003 | 00000008 00000003 |  8  00000008
  0000a | 00400020 | 8e130000 0 0 16  0 19 | 10010000 00000000 | 00000008 00000003 |  9  00000008
  0000b | 00400024 | 02739820 1 0 19 19 19 | 10010000 00000000 | 10010000 00000003 | 10  00000008
  0000c | 00400024 | 02739820 1 0 19 19 19 | 00000000 00000000 | 10010000 00000000 |  0  10010000
  0000d | 00400024 | 02739820 0 0 19 19 19 | 00000000 00000000 | 00000000 00000000 | 19  00000003
  0000e | 00400028 | 02739820 1 0 19 19 19 | 00000003 00000003 | 00000000 00000000 |  0  00000000
  0000f | 00400028 | 02739820 1 0 19 19 19 | 00000000 00000000 | 00000006 00000003 |  0  00000000
  00010 | 00400028 | 02739820 0 0 19 19 19 | 00000000 00000000 | 00000000 00000000 | 19  00000006
  00011 | 0040002c | 02739820 1 0 19 19 19 | 00000006 00000006 | 00000000 00000000 |  0  00000000
  00012 | 0040002c | 02739820 1 0 19 19 19 | 00000000 00000000 | 0000000c 00000006 |  0  00000000
  00013 | 0040002c | 02739820 0 0 19 19 19 | 00000000 00000000 | 00000000 00000000 | 19  0000000c
  00014 | 00400030 | 2402000a 0 0  0  0  2 | 0000000c 0000000c | 00000000 00000000 |  0  00000000
  00015 | 00400034 | 0000000c 0 0  0  0  0 | 00000000 0000000a | 00000018 0000000c |  0  00000000
  00016 | 00400038 | 00000000 0 0  0  0  0 | 00000000 00000000 | 0000000a 00000000 | 19  00000018
  00017 | 0040003c | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  2  0000000a
  00018 | 00400040 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  cycle =      24
