VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  xxxxxxxx
  00001 | 00400004 | 3c011001 0 0  0  0  1 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 34300000 0 1  1  0 16 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 2404003f 0 0  0  0  4 | 10010000 00000000 | 10010000 00000000 |  0  00000000
  00004 | 00400010 | ae040000 0 1 16  4  0 | 00000000 0000003f | 10010000 00000000 |  1  10010000
  00005 | 00400014 | 24040056 0 0  0  0  4 | 10010000 00000000 | 0000003f 00000000 | 16  10010000
  00006 | 00400018 | ae040004 0 1 16  4  0 | 00000000 00000056 | 10010000 0000003f |  4  0000003f
  00007 | 0040001c | 24040040 0 0  0  0  4 | 10010000 00000004 | 00000056 00000000 |  0  10010000
  00008 | 00400020 | ae040008 0 1 16  4  0 | 00000000 00000040 | 10010004 00000056 |  4  00000056
  00009 | 00400024 | 24040062 0 0  0  0  4 | 10010000 00000008 | 00000040 00000000 |  0  10010004
  0000a | 00400028 | ae04000c 0 1 16  4  0 | 00000000 00000062 | 10010008 00000040 |  4  00000040
  0000b | 0040002c | 2404002c 0 0  0  0  4 | 10010000 0000000c | 00000062 00000000 |  0  10010008
  0000c | 00400030 | ae040010 0 1 16  4  0 | 00000000 0000002c | 1001000c 00000062 |  4  00000062
  0000d | 00400034 | 2404001f 0 0  0  0  4 | 10010000 00000010 | 0000002c 00000000 |  0  1001000c
  0000e | 00400038 | ae040014 0 1 16  4  0 | 00000000 0000001f | 10010010 0000002c |  4  0000002c
  0000f | 0040003c | 2404004b 0 0  0  0  4 | 10010000 00000014 | 0000001f 00000000 |  0  10010010
  00010 | 00400040 | ae040018 0 1 16  4  0 | 00000000 0000004b | 10010014 0000001f |  4  0000001f
  00011 | 00400044 | 2404005a 0 0  0  0  4 | 10010000 00000018 | 0000004b 00000000 |  0  10010014
  00012 | 00400048 | ae04001c 0 1 16  4  0 | 00000000 0000005a | 10010018 0000004b |  4  0000004b
  00013 | 0040004c | 24040012 0 0  0  0  4 | 10010000 0000001c | 0000005a 00000000 |  0  10010018
  00014 | 00400050 | ae040020 0 1 16  4  0 | 00000000 00000012 | 1001001c 0000005a |  4  0000005a
  00015 | 00400054 | 24040034 0 0  0  0  4 | 10010000 00000020 | 00000012 00000000 |  0  1001001c
